Price,Area,Bedrooms
2.10 Cr,2000 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.50 Cr,3400 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Chandapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
3 Cr,2400 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hrbr Layout, Kalyan Nagar, Outer Ring Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
61 Lac,1450 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Anekal Bangalore 		                		 						            	         		    		 		           			 		           			                    
40.70 Cr,1850 sqft,"  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Chowdeswari Layout - Subbannapalya, Banaswadi Bangalore 		                		 						            	         		    		 		           			 		           			                    "
3.20 Cr,2880 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Beml Layout-Rr Nagar Stage 5, Rajarajeshwari Nagar Stage 5 Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.45 Cr,700 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jnana Bharthi, Kengeri Satellite Town Bangalore 		                		 						            	         		    		 		           			 		           			                    "
61 Lac,1000 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kannamangala Bangalore 		                		 						            	         		    		 		           			 		           			                    
7 Cr,2900 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Vibhutipura Bangalore 		                		 						            	         		    		 		           			 		           			                    
12 Cr,9000 sqft,"  			            		 			            			 			            				7 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hal Stage 2, Indira nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
